mean_RD,covered_sats,covered_suns,skill_diversity,skill_coverage,quantity_of_fav_rotas,control,size
21.333333333333332,6.0,4.0,0.75,6,0,False,3
21.666666666666668,8.0,4.0,1.0,10,1,False,4
18.857142857142858,9.0,7.0,0.625,10,1,False,7
20.19047619047619,11.0,8.0,0.625,10,3,False,7
15.714285714285714,9.0,9.0,0.56,14,3,False,8
22.055555555555557,9.0,10.0,0.5161290322580645,16,4,False,9
11.0,5.0,4.0,0.7777777777777778,7,1,False,2
19.866666666666667,7.0,8.0,0.6875,11,2,False,6
16.666666666666668,6.0,4.0,0.8333333333333334,10,3,False,3
16.0,7.0,4.0,0.75,6,0,False,4
16.0,3.0,5.0,1.0,6,0,False,3
18.0,7.0,3.0,0.8,4,2,False,3
22.666666666666668,5.0,3.0,0.75,6,0,False,3
17.0,7.0,5.0,0.875,7,1,False,4
19.333333333333332,5.0,5.0,0.7777777777777778,7,1,False,3
17.238095238095237,10.0,10.0,0.6842105263157895,13,3,False,7
23.6,9.0,4.0,0.5555555555555556,10,3,False,5
23.0,4.0,5.0,0.75,6,0,False,2
18.4,8.0,7.0,0.6875,11,3,False,6
16.0,5.0,3.0,1.0,6,0,False,2
21.72222222222222,10.0,10.0,0.6190476190476191,13,6,False,9
23.8,10.0,7.0,0.6666666666666666,10,2,False,5
12.0,4.0,2.0,1.0,5,0,False,2
27.0,4.0,5.0,0.8,4,0,False,2
24.4,9.0,5.0,0.75,12,3,False,5
20.666666666666668,8.0,4.0,0.6666666666666666,8,1,False,3
14.933333333333334,7.0,8.0,0.65,13,2,False,6
24.0,6.0,3.0,0.6666666666666666,6,0,False,3
18.0,4.0,3.0,1.0,4,1,False,2
20.733333333333334,8.0,5.0,0.6,9,4,False,6
18.8,9.0,5.0,0.6111111111111112,11,3,False,6
23.0,3.0,1.0,1.0,4,0,False,2
18.0,7.0,4.0,0.625,10,1,False,5
16.133333333333333,8.0,8.0,0.6470588235294118,11,2,False,6
17.5,5.0,6.0,0.6666666666666666,6,1,False,4
18.5,5.0,5.0,0.6666666666666666,6,0,False,4
18.166666666666668,7.0,4.0,0.6666666666666666,8,1,False,4
8.0,6.0,2.0,1.0,4,1,False,2
17.833333333333332,7.0,5.0,0.7058823529411765,12,1,False,4
22.285714285714285,9.0,7.0,0.8,12,1,False,7
20.071428571428573,11.0,8.0,0.6111111111111112,11,3,False,8
12.666666666666666,8.0,3.0,0.75,6,1,False,3
24.5,7.0,2.0,0.9230769230769231,12,1,False,4
15.333333333333334,5.0,6.0,1.0,7,1,False,3
16.933333333333334,5.0,10.0,0.6875,11,0,False,6
23.333333333333332,10.0,1.0,0.7777777777777778,7,1,False,3
17.733333333333334,7.0,8.0,0.6666666666666666,8,3,False,6
23.2,9.0,5.0,0.8571428571428571,12,2,False,5
19.61904761904762,9.0,6.0,0.7857142857142857,11,2,False,7
19.236363636363638,12.0,10.0,0.4375,14,4,False,11
16.6,8.0,6.0,0.7142857142857143,10,1,False,5
23.4,8.0,5.0,0.5714285714285714,8,0,False,5
23.8,7.0,7.0,0.75,9,1,False,5
25.0,5.0,3.0,0.75,3,0,False,2
,4.0,2.0,1.0,5,0,False,1
15.833333333333334,8.0,4.0,0.875,7,2,False,4
24.833333333333332,8.0,6.0,1.0,7,2,False,4
15.035714285714286,8.0,6.0,0.6,12,0,False,8
17.0,8.0,4.0,0.6923076923076923,9,3,False,4
22.19047619047619,9.0,7.0,0.6666666666666666,10,2,False,7
18.0,4.0,5.0,1.0,5,1,False,2
22.8,7.0,8.0,0.8333333333333334,10,2,False,5
23.107142857142858,9.0,7.0,0.5384615384615384,14,4,False,8
23.8,9.0,6.0,0.75,9,1,False,6
,4.0,1.0,1.0,2,0,False,1
20.0,6.0,7.0,0.7333333333333333,11,3,False,6
16.266666666666666,8.0,7.0,0.7222222222222222,13,2,False,6
17.333333333333332,5.0,6.0,0.9090909090909091,10,1,False,3
24.4,8.0,7.0,0.5263157894736842,10,4,False,5
22.2,7.0,5.0,0.7333333333333333,11,2,False,5
13.0,6.0,3.0,0.8,4,1,False,2
22.166666666666668,12.0,11.0,0.375,15,3,False,12
11.866666666666667,8.0,5.0,0.6666666666666666,10,0,False,6
23.2,11.0,6.0,0.6666666666666666,14,3,False,5
25.5,6.0,7.0,0.8,8,2,False,4
19.0,8.0,5.0,0.7857142857142857,11,1,False,5
23.0,5.0,5.0,0.75,6,1,False,4
19.833333333333332,7.0,3.0,1.0,8,1,False,4
24.0,5.0,4.0,1.0,4,0,False,2
19.523809523809526,9.0,5.0,0.6666666666666666,14,5,False,7
24.0,11.0,8.0,0.4782608695652174,11,2,False,7
15.333333333333334,7.0,3.0,0.875,7,1,False,3
17.2,8.0,5.0,0.9,9,0,False,5
23.4,9.0,6.0,0.5238095238095238,11,3,False,6
23.0,5.0,4.0,1.0,6,0,False,2
18.0,4.0,3.0,0.75,6,0,False,3
,5.0,1.0,1.0,1,0,False,1
21.6,8.0,6.0,0.6666666666666666,4,0,False,5
20.5,5.0,5.0,0.8888888888888888,8,1,False,4
19.0,3.0,5.0,0.7142857142857143,5,0,False,2
21.733333333333334,10.0,5.0,0.6,9,2,False,6
15.75,7.0,8.0,0.5384615384615384,14,2,False,8
19.80952380952381,9.0,8.0,0.7142857142857143,15,2,False,7
15.166666666666666,8.0,5.0,0.8181818181818182,9,1,False,4
19.047619047619047,9.0,9.0,0.7368421052631579,14,3,False,7
17.428571428571427,10.0,8.0,0.631578947368421,12,1,False,7
20.666666666666668,9.0,9.0,0.5769230769230769,15,2,False,9
14.651515151515152,10.0,10.0,0.375,15,3,False,12
,3.0,3.0,1.0,2,0,False,1
22.392857142857142,10.0,8.0,0.7368421052631579,14,1,False,8
17.0,9.0,3.0,0.8333333333333334,10,1,False,4
23.166666666666668,5.0,6.0,0.7777777777777778,7,1,False,4
20.0,4.0,4.0,1.0,6,0,False,3
17.0,6.0,6.0,0.6923076923076923,9,0,False,4
22.0,4.0,4.0,0.75,3,1,False,2
18.166666666666668,6.0,3.0,0.8571428571428571,6,0,False,4
26.666666666666668,9.0,7.0,0.8,8,2,False,4
23.4,9.0,6.0,0.6666666666666666,8,1,False,6
23.333333333333332,7.0,3.0,0.9,9,2,False,3
15.333333333333334,6.0,6.0,1.0,7,1,False,4
28.0,3.0,6.0,0.75,3,0,False,2
13.2,7.0,6.0,0.8571428571428571,12,2,False,5
17.333333333333332,7.0,6.0,0.8181818181818182,9,1,False,4
10.666666666666666,5.0,4.0,0.8333333333333334,5,0,False,3
24.6,8.0,5.0,0.8,8,2,False,5
13.333333333333334,7.0,3.0,0.7,7,1,False,4
18.0,4.0,7.0,0.75,9,0,False,3
,3.0,3.0,1.0,2,0,False,1
17.0,7.0,6.0,0.7058823529411765,12,1,False,5
24.4,9.0,4.0,0.8,8,1,False,5
18.095238095238095,6.0,7.0,0.6818181818181818,15,2,False,7
18.5,5.0,6.0,0.8,12,2,False,4
17.333333333333332,5.0,7.0,0.6470588235294118,11,2,False,4
19.714285714285715,10.0,9.0,0.7647058823529411,13,2,False,7
22.6,8.0,7.0,0.7857142857142857,11,1,False,5
19.0,8.0,6.0,0.6428571428571429,9,2,False,6
20.166666666666668,7.0,6.0,0.75,9,1,False,4
19.333333333333332,5.0,6.0,1.0,6,0,False,3
