mean_RCQ,mean_RD,mean_WSP,mean_SQ,skill_diversity,skill_coverage
6.750858853235931e-15,0.0006471971231497415,0.00013959183352281256,0.008483373492642384,0.001364505984158543,0.3493307405434365
1.145144489501363e-14,0.12078217636087703,0.9068263078834127,0.0004898944953631812,3.117371460322131e-05,0.0015709649125376821
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.32092780098346757,0.5226365073263061,0.8291235625694868,0.5659148119425786,0.7066036334678837,0.9572263609302543
0.007672190699028597,0.10158623506614052,0.4945077744405909,0.2577290713054859,0.5086309425490296,0.23056153359932707
5.538588927356445e-18,6.838014422959822e-08,0.5863768487865438,1.8599801534580356e-05,0.0005833018860768771,0.057505883651071545
7.35575072135694e-13,0.0861567020430185,0.7077965025836778,0.2904126622968549,0.07309495480140554,0.1473224401982119
0.5505340052836563,0.7324570957971532,0.3166674149639653,0.06750681968486173,0.4982568144398697,0.5803429551119508
1.8508940190232119e-16,0.008318848304531692,0.7707825682487085,2.1309598697881397e-14,1.0148166708360424e-05,2.9756244737564483e-07
2.2372432177145966e-07,0.7501833517612218,0.0006154196094351667,0.03895135677617536,0.012749337203782926,0.10447245545898028
4.8338666559578544e-11,0.8784432611584126,0.7244303075953036,0.3486923447394773,0.4709192978432668,0.021866806725661915
3.3045994565080113e-32,0.5326007829416297,0.03319317434989066,7.241676884721442e-08,1.4392964161022184e-09,3.484335397407307e-08
1.919701451706598e-05,0.3063319492777777,0.5679275315923871,1.719348923950327e-08,0.00041217062537788387,6.84108728275533e-05
0.18658415228290337,0.8605059775769337,0.012347797980321163,0.003070826282721742,0.060583995069440066,0.6906443477163291
0.04031913096973572,0.007983699682546147,0.9924033995287643,0.03596995307312261,0.3880123290364338,0.5909531737505495
0.029775335895619207,0.289541537662619,0.17605948379612252,0.0002855839151112822,0.24824795427590682,0.04387117556674411
3.9144297158396275e-18,0.2465853924187045,0.5241325965697055,0.0008388230294657594,0.006679679233732699,0.512934572669667
0.8686861853990666,0.783141352729598,0.16415754588847306,0.08234837257977812,0.4054524144441678,0.7470537642866604
4.0219418919564966e-08,0.06194566517912254,1.9099832618600918e-05,0.12428181117722992,0.00368528020193487,0.6552081985066769
1.0,1.0,1.0,1.0,1.0,1.0
1.396635692803209e-11,0.00010982789405074044,0.620527638725821,0.0033271577366569935,0.024849774075061216,0.01873861309157031
7.1576725046073644e-06,0.0005270357008413715,0.0005859008938759116,0.01257712309875501,0.038467999772802096,0.08917528790870392
1.0,1.0,1.0,1.0,1.0,1.0
0.00012832782022105418,0.9933085080670105,1.5399865322010268e-08,6.983635158380956e-05,0.7953490570740624,0.8322861314805422
0.18325655774826427,0.01799809503506545,0.6167197991035547,0.9802784658828316,0.8326132382520187,0.08532892174739612
2.297969717150178e-18,0.01133410387457503,6.343942784622422e-05,0.14394835141465964,0.0047872282721496935,0.005638123006979608
1.0,1.0,1.0,1.0,1.0,1.0
3.1492042391035593e-13,3.572989933113353e-05,0.37466965771600713,0.8015336836844265,0.024323554637734657,0.1708810344305087
2.4541585015533353e-15,0.17027337118447208,0.08766456816331955,0.010662252155471308,0.2580669209075419,0.0007440847695110657
1.0,1.0,1.0,1.0,1.0,1.0
2.3252462945492457e-10,0.19089892873661407,0.3790749288064451,2.162839253421896e-09,0.013048931890120258,0.646958405093677
0.0715886988793879,0.2138617920892981,0.8209472185338251,0.03762893364049782,0.09867175140579673,0.461390686988958
7.4776861489167545e-06,0.17862507068311545,0.21147904324740252,0.39237576967844456,0.6519970642504086,0.1583897093141623
4.6861134980228164e-05,0.8212940782383857,2.0923232608783306e-11,0.49011790820986156,0.6109452047536628,0.3103185503665724
0.4321060655775226,0.7105045270077253,0.25173265326451133,0.24900521023088595,0.0667558009871752,0.03966292135104484
0.22398304811697814,0.9273300641487419,0.672027465605944,0.5465634563421637,0.2266315660837198,0.8743904992416036
3.0851096714780434e-13,0.0004907908629564121,0.0009597831457947052,0.017064047144270834,0.6450997131974403,0.24937540350111517
0.7851328447775657,0.7488285437509536,0.3596055928313535,0.6242543798388008,0.4512965537254894,0.7808259301871363
0.7554400663742068,0.12088652705918715,0.20147160888677274,0.8426506711288207,0.9019080606820951,0.9461535724834773
3.327013410869444e-09,0.2506216727222065,0.00010276892920816084,0.0030288598100237036,0.03838936386483421,0.01079401263885148
4.0361706311538326e-19,0.012798622348833827,0.3895553831070596,2.7643706989776846e-14,2.1741252974328675e-06,2.5226158213914337e-10
0.9786181132504773,0.10277114992080874,0.275653255116214,0.6732720428462861,0.27115362624131695,0.4341231499621778
1.7180743817012013e-05,0.025516365631583226,0.9250882441745233,0.0026418150944337157,0.5342215619096682,0.21097860515671743
9.027130426154346e-13,0.5899301754231894,1.2582466153315243e-08,3.7060090251018175e-07,0.003416779257299804,0.0017656035281320196
5.1717331062627764e-11,7.653744979394212e-07,0.08451104924463676,0.03300686525526036,0.0001575129519076373,0.03244818198436009
5.5161164961607324e-11,0.0009147596447206504,0.0005113111500433566,2.5794739890416413e-12,0.3685203189794868,0.03360166685733784
4.633752926321385e-13,0.22007380477791452,9.940216431782995e-05,1.8073515813964438e-08,0.006114925810422787,0.00010774298109660089
1.2298909601962898e-05,4.419194449266421e-06,0.07880136917467673,2.780676795400997e-06,0.3366639776226953,0.9752163635578506
1.2417474220748253e-19,0.240549428966606,0.11481105097481561,0.004982952667832297,0.04621651605824579,6.150821743157239e-05
0.0017523035161246515,0.0035783296363202416,0.022602239685378413,0.6517167260786625,0.9939573355816721,0.49962656275755524
0.003118275586304025,0.38172835063427946,4.21199748750999e-06,0.1349618886480129,0.27423601187754554,0.7290078056635756
0.0010139847031683388,0.0034401678817900785,0.06201795250010537,0.00011310196823811131,0.5696844874830923,0.5486589703673961
